,titulo,tipo_inmueble,precio,latitud,longitud,tamaño_m2,habitaciones,banios,direccion,descripcion,caracteristicas,url,precio_x_m2,distrito
0,"Departamento en venta Los Angeles De Cayma 30, Arequipa 04017, Perú",departamento,152500.0,-16.38009917,-71.55228857,147.0,4.0,4.0,"Los angeles de cayma 30, arequipa 04017, perú","Vendo departamento en el Tercer Piso, en la Urb. Los Ángeles de Cayma, se encuentra en una zona privada y tranquila con una hermosa vista, tiene constante vigilancia, el departamento cuenta con buena iluminación y ventilación, buenos acabados, ambientes amplios y confortables.   En la cercanía tendrá parques, buenos restaurantes, centros comerciales, clínicas, avenidas principales, gimnasios, bancos y más...      DISTRIBUCIÓN: tiene doble ingreso al de ... partamento (sala y cocina)    - Sala, Comedor con buena iluminación y de buen tamaño.    - Baño de visita    - Área de Estudio.    - Cocina cerrada con comedor de diario con reposteros altos y bajos.    - Habitación principal con baño privado y closet.    - 2 dormitorios amplios con closet, ambos comparten un baño completo.    - Área de servicio (cuarto y baño)    - Área de lavandería amplia.      El departamento mide: 124.72m2,    Depósito: 8.66m2   Estacionamiento: 13.91m2 (semisótano)       Ideal para familias grandes y está cerca a uno de los puestos de Serenazgo lo que brinda mayor seguridad a la urbanización.       El edificio cuenta con intercomunicador, portero eléctrico, pozo a tierra, control de puerta levadiza para la cochera y cerco eléctrico.    No cuenta con Ascensor       DOCUMENTOS EN REGLA, SIN CARGAS, GRAVAMEN NI HIPOTECAS. Mostrar","Amoblado: Sin amoblar Armario empotrado Línea Blanca Internet Cuarto de Servicio Año de construcción: 2,010 Estacionamientos Caseta de vigilancia Caseta de vigilancia Seguridad privada Cerca a avenidas principales Cerca a Centro Comercial Cerca de parques Cerca a Centro Comercial Vista panorámica",https://www.laencontre.com.pe/inmueble/ed7c-b300-b2602f2c-cd8ac4582b39-4dc7,1037.4149659863945,cayma
1,"Departamento en venta Residencial Villa Aurora, José Luis Bustamante Y Rivero, Arequipa, Perú",departamento,120000.0,-16.4396272,-71.5148882,129.3,3.0,3.0,"Residencial villa aurora, josé luis bustamante y rivero, arequipa, perú","Departamento dúplex en preventa muy lindo y acogedor en estreno con un área ocupada de 129.3m2 ubicado en el tercer y cuarto piso, en José Luis Bustamante Rivero, cerca al club de médico, CERTSE FAP, club del arquitecto, colegio INNOVA SCHOOL zona  donde se puede disfrutar del aire y clima de la campiña. A 5 minutos de la Av. Dolores, cerca de restaurantes, colegios, saunas, gimnasio, etc.     Distribución en primer piso:   Sala bien iluminada, con mampara que dejan ingresar la luz natural.   Comedor amplio   Cocina con reposteros altos y bajos   Una sala star cálido e iluminado   ½ Baño    Lavandería    Gradas que llevan al segundo piso:   Distribución en segundo piso.   1 Habitación principal con baño completo   2 habitaciones secundarias   1 Baño completo   Áreas comunes: Terraza con zona de parrilla   La residencial es cerrada.          GIULIANA CARDENAS -  Ver teléfono ... Mostrar","Amoblado: Semi-amoblado Año de construcción: 2,023",https://www.laencontre.com.pe/inmueble/511a-9025-1b4c8ad6-c18098891c9c-42c1,928.074245939675,bustamante
2,"Departamento en venta Avenida Aviación, Ag. Cerro Colorado, Cerro Colorado, Arequipa, 04014, Per",departamento,93500.0,-16.368684802690517,-71.5602632984519,94.55,3.0,2.0,"Avenida aviación, ag. cerro colorado, cerro colorado, arequipa, 04014, per","DEPARTAMENTO CON EXCELENTES ACABADOS, UBICADO FRENTE A PARQUE, POR LOS DORMITORIOS CON VISTA A LA CAMPIÑA POR LO QUE CUENTA CON UN BUEN CLIMA E ILUMINACIÓN   ESTA DISTRIBUIDO DE LA SIGUIENTE MANERA:    ** ASCENSOR DIRECTO AL DEPARTAMENTO   ** SALA COMEDOR CON PISO DE PORCELANATO   ** COCINA ESTILO AMERICANA CON REPOSTEROS ALTOS Y BAJOS Y MESADA DE GRANITO NEGRO   ** 01 DORMITORIO PRINCIPAL CON PISO LAMINADOS, ROPERO EMPOTRADO DE PISO A TECHO Y BAÑO PRIVADO   ** 02 DORMITORIOS SECUNDARIOS CON PISO LAMINADO Y CLOSET EMPOTRADO DE PISO A TECHO   ** 01 BAÑO COMPLETO QUE COMPARTEN LAS HABITACIONES SECUNDARIAS Y A LA VEZ ES BAÑO SOCIAL   ** 01 COCHERA LINEAL    Y LO MEJOR CUENTA CON SU PROPIA ÁREA DE LAVANDERIA Y ZONA DE PARRILLAS CON VISTA A LA CAMPIÑA Y LOS VOLCANES      MARISOL QUISPE -  Ver teléfono ... Mostrar","Amoblado: Sin amoblar Año de construcción: 2,020",https://www.laencontre.com.pe/inmueble/a6d9-bbb8-97532585-593595431306-44eb,988.8947646747753,cerro colorado
3,"Departamento en venta Cayma, Arequipa",departamento,145000.0,-16.3757784,-71.5453177,140.0,3.0,3.0,"Cayma, Arequipa","En Venta Departamento · Urb. La Marina · Cayma      ••••••••••••••••••••••••••••••••••••••••••••••••••   • Ubicada en urbanización privada, en el 3er piso   • Frente a Parque   ••••••••••••••••••••••••••••••••••••••••••••••••••   • Área Techada: 144.09 m²   • Área Total: 171.72 m²   ••••••••••••••••••••••••••••••••••••••••••••••••••   • Precio: 145,000 dólares   ••••••••••••••••••••••••••••••••••••••••••••••••••   Características:   • Sala - comedor.   • Baño social.   • Co ... cina cerrada con comedor de diario.   • Lavandería.   • Habitación principal con baño privado, closet empotrado con vista al parque.   • 2 habitaciones secundarias amplias e iluminadas.   • 1 baño para compartir.   • Sala de estar   ••••••••••••••••••••••••••••••••••••••••••••••••••   Adicional:   • Amplia terraza 17.26 m².   • Cochera para un auto.   • Terma solar.   • Tanque de agua.   • Tendederos compartidos.   •••••••••••••••••••••••••••••••••••••••••••••••••• Mostrar",Cerca de parques,https://www.laencontre.com.pe/inmueble/7572-a41a-5dfc7e29-2bca987fc96b-4715,1035.7142857142858,cayma
4,"Departamento en venta Avenida Lambramani 150-198, Cuadra 1, Arequipa, 04002, Per",departamento,143000.0,-16.40930124,-71.5235566,126.0,3.0,3.0,"Avenida lambramani 150-198, cuadra 1, arequipa, 04002, per","Vendo DUPLEX en estreno   Ubicación: Frente al Pque Lambramani.   1er y 2do  piso    Ascensor   1ra planta : Sala comedor, baño visitas , cocina cerrada , lavandería   2da planta    Pequeño hall   3 dormítorios ( EL PRINCIPAL CON BAÑO Y DUCHA ESPAÑOLA)   2 baños completos   Terraza mirando al misti    Semi sótano :  1 ESTACIONAMIENTO    TAMBIÉN TIENE ENEL SETIMO PISO , Áreas comunes    COSTO DEL ALQUILER: 2000 SOLES   MANTENIMIENTO: 70 SOLES    CONDICIONES : 2 meses de gara ... ntía x 1 mes adelantado Mostrar","Amoblado: Sin amoblar Aire Acondicionado Balcón Armario empotrado Año de construcción: 2,023 Estacionamientos Bodega Terraza Cisterna Caseta de vigilancia BBQ Ascensor Seguridad privada Cerca a avenidas principales Cerca a Centro Comercial Cerca de parques Cerca a Centro Comercial Vista panorámica",https://www.laencontre.com.pe/inmueble/378048,1134.920634920635,desconocido
5,"Departamento en venta Hcvw+jr9 Yanahuara, Perú",departamento,174000.0,-16.4059625,-71.5528906,130.0,4.0,4.0,"Hcvw+jr9 yanahuara, perú","DEPARTAMENTO EN VENTA EN URB. TAHUAYCANI      El departamento se encuentra en el 4to piso. | Cerca de la Av. Metropolitana.    Frente a parque. | Cuenta con ascensor y cochera.      •••••••••••••••••••••••••      Área del departamento: 130 m²                    Área de la cochera: 15 m²      •••••••••••••••••••••••••      Precio: $ 174,000 dólares       •••••••••••••••••••••••••      Características:          •	Sala/comedor   •	Cocina con reposteros altos y bajos   •	01 baño social   •	C ... uarto y baño de servicio                        •	01 dormitorio principal con baño y closets empotrados    •	02 dormitorios secundarios con closets    •	01 baño compartido   •	Depósito   •	Lavandería                  •	Terma Solar Mostrar",,https://www.laencontre.com.pe/inmueble/72ff-a654-815a1a88-b3a7657817d3-4ce8,1338.4615384615386,yanahuara
6,"Departamento en venta Calle Chachani 120-198, Cuadra 1, Victor Andres Belaunde, Cerro Colorado, Arequipa, 04014, Per",departamento,79000.0,-16.385435599740124,-71.55546382069588,80.0,2.0,2.0,"Calle chachani 120-198, cuadra 1, victor andres belaunde, cerro colorado, arequipa, 04014, per","HERMOSO DEPARTAMENTO EN VENTA - CERRO  COLORADO      SEGUNDO PISO Y MEDIO       Ubicado en Calle Chachani a media cuadra de Socosani, a 5 minutos de Mall Arequipa Center y Mall Plaza, cerca a Avenidas Principales como Prol. Av. Ejercito       Facilidad de acceso, porton electrico, cochera electrica, cuenta con terma solar propia (nuevo)      DESCRIPCIÓN:   - Sala    - Comedor   - Cocina    - Lavandería   - 2 Habitaciones   - 2 Baño Completo   - Cochera  12 mt2       Area Total: 8 ... 0 mts2   Area Cochera:  12 mts2 Mostrar","Amoblado: Sin amoblar Mascotas permitidas Niños permitidos Armario empotrado Línea Blanca Año de construcción: 2,015 Estacionamientos Caseta de vigilancia Jardín Cerca a avenidas principales Cerca a Centro Comercial Cerca de parques Cerca a Centro Comercial",https://www.laencontre.com.pe/inmueble/3207-89e0-87e88a16-737227cd92bb-1274,987.5,cerro colorado
7,"Departamento en venta Miraflores, Arequipa",departamento,105000.0,-16.376575,-71.505833,122.62,3.0,3.0,"Miraflores, Arequipa","Departamento en el quinto piso, tres habitaciones (habitacion principal con baño y dos habitaciones secundarias con baño compartido, adicionalmente baño de visitas y habitacio de servicio con baño incluido. Cocina completa, lavanderia, cochera y deposito.      Adicionalmente un area de azotea con espacios particulares.",,https://www.laencontre.com.pe/inmueble/e6f7-9c47-f0b6181f-c955cd4a644d-340f,856.3040287065731,miraflores
8,"Departamento en venta Cerro Colorado, Arequipa",departamento,285000.0,-16.381013,-71.553944,300.0,4.0,5.0,"Cerro Colorado, Arequipa","VENTA DE HERMOSO PENT HOUSE CON UNA INCREIBLE VISTA DE LA CIUDAD      - Excelente ubicación en el límite del distrito de Cerro Colorado y Cayma      - Ubicado en el 6to. piso de un conjunto residencial privado      - Cerca a centros comerciales, principales avenidas, colegios, universidades, etc.      - Amplia terraza con vista espectacular       - 3 cocheras      - 5 baños       - Jacuzzi      - 4 dormitorios       - 1 área parrillera       - Clima cálido excelente iluminación       - Aca ... bados de primera y en excelente ubicación      PRECIO: $ 250,000      RUC FULL OPTIONS   20454718373 Mostrar",Armario empotrado Línea Blanca Chimenea Jacuzzi Cuarto de Servicio Estacionamientos Bodega BBQ Ascensor Seguridad privada Cerca de parques Vista panorámica,https://www.laencontre.com.pe/inmueble/377b-93fe-5047c829-5097b10b1750-3989,950.0,cerro colorado
9,"Departamento en venta Arequipa Distrito, Arequipa",departamento,130000.0,-16.393358,-71.533681,180.0,3.0,2.0,Arequipa,"¡¡¡VENTA!!! DEPARTAMENTO DÚPLEX EN SAN LZARO - CERCADO       GRAN OPORTUNIDAD DE DEPARTAMENTO       Vendo departamento Dúplex esta ubicado en el 3er y 4to nivel, en el Cercado de Arequipa, como referencia en el Barrio de San Lázaro cerca de la Universidad San Pablo, esta ubicado en zona tranquila y segura, el departamento cuentan con la siguiente distribución:      - Sala   - Comedor   - Cocina   - 03 Habitaciones    - 02 Baños   - Lavandería    - Azotea + Aires    - Sin  ... Cochera    - Sin Ascensor       REA TOTAL : 180 m2   PRECIO : $130,000 DÓLARES Mostrar",Cerca de parques Cerca a avenidas principales Cerca a Centro Comercial Cerca a Centro Comercial Vista panorámica,https://www.laencontre.com.pe/inmueble/eb5e-951b-b5c894a0-eaa35db0de0b-36c7,722.2222222222222,arequipa
10,"Departamento en venta Calle Santa Rosa 100-132, Cuadra 1, Orrantia, Arequipa, 04001, Per",departamento,155000.0,-16.398479615134175,-71.53006529419555,151.7,3.0,3.0,"Calle santa rosa 100-132, cuadra 1, orrantia, arequipa, 04001, per","Departamento en Tercer Piso en condominio PRIVADO, con buena iluminación y excelente clima.   Con acceso a Avenidas Principales (Avenida Goyeneche, Avenida La Paz), cerca de centros comerciales (siglo XX) y centros financieros, iglesias, comercio, y otros servicios.      Edificio de 3 pisos.   * Área total 151.70 m2   * Área techada 151.70 m2      Descripción:   - Sala   - Comedor   - Baño social   - 3 habitaciones   La habitación principal con baño incorporado y walk in closet   La habitación secundaria cuenta con baño incorporado   Habitación adicional (escritorio)   - Cocina con reposteros altos y bajos   - Lavandería      Adicional:   - Tablero eléctrico   - Llaves térmicas   - Portón eléctrico   - Intercomunicado      - No cuenta con ascensor      - Cochera como área común      GILDA VALVERDE -  Ver teléfono ... Mostrar","Amoblado: Sin amoblar Año de construcción: 1,998",https://www.laencontre.com.pe/inmueble/9381-9e0b-1ca86a62-e7201c1a321-426d,1021.753460777851,arequipa
11,"Departamento en venta Calle María Nieves Y Bustamante 300-398, Cuadra 3, Pj. Buen Amanecer, Miraflores, Arequipa, 04004, Per",departamento,71038.0,-16.38459288,-71.51190659,77.0,3.0,3.0,"Calle maría nieves y bustamante 300-398, cuadra 3, pj. buen amanecer, miraflores, arequipa, 04004, per","DEPARTAMENTO EN VENTA DE ESTRENO EN MIRAFLORES UBICADO ENTRE LA AVENIDA TARAPACA Y LA AVENIDA GOYENECHE    EL EDIFICIO SÓLO TIENE 6 DEPARTAMENTOS   EL DEPARTAMENTO ESTA EN CUARTO PISO ,TIENE EXCELENTE CLIMA Y CONSTA DE :   SALA/COMEDOR CON UN PEQUEÑO BALCÓN   COCINA ESTILO AMÉRICANA CON REPOSTEROS ALTOS Y BAJOS, MESADA DE GRANITO   UNA HABITACIÓN PRINCIPAL CON CLOSETS DE PISO A TECHO,  Y BAÑO COMPLETO    DOS HABITACIONES SECUNDARIAS CON CLOSETS   UN BAÑO COMPLETO QUE COMPARTEN LAS DOS HABITACIONES SECUNDARIAS   LAVANDERÍA   EL EDIFICIO CUENTA CON TANQUE ROTOPLAST PARA CADA DEPARTAMENTO   CONEXIÓN EN LA AZOTEA PARA THERMA SOLAR   ZONA DE PARRILLA EN ÁREA COMÚN    TODOS LOS PAPELES EN REGLA PARA LA VENTA   CONSULTAS Y VISITAS: AYME RAMOS VILCHEZ    TELÉFONO:  Ver teléfono ... Mostrar","Amoblado: Sin amoblar Balcón Armario empotrado Año de construcción: 2,021",https://www.laencontre.com.pe/inmueble/b485-8ee8-5058b088-2201b89c23b4-477e,922.5714285714286,bustamante
12,"Departamento en venta La Señorial 200, Cayma, Arequipa, Arequipa, Peru",departamento,185000.0,-16.3865,-71.547443,105.0,3.0,3.0,"La señorial 200, cayma, arequipa, arequipa, peru","*Edificio Cayma       ✅ Exclusivo y Moderno Edificio en esquina y frente a parque en Urb. Privada de Cayma a 4 cuadras de la av Ejército    ✅ Seguridad las 24 hrs con vigilancia    ✅ Todos los ambientes iluminados y ventilados de forma directa   ✅ Ascensor directo a cada departamento   ✅ Sistemas de Alto Rendimiento de Seguridad (Escalera de Evacuación, Sistema Contraincendios, Puertas Cortafuego, Bomba Cisterna, otros)    ✅ Áreas Dptos:   1. Dpto 101 - 157.67 m ... 2 ocupados + Estacionamiento 1 - 12.5 m2. Precio Pre Venta: $193k   2. Dpto 201 - 144.88 m2 ocupados + Estacionamiento 2 - 12.5 m2. Precio Pre Venta: $185k   3. Dpto 301 - 144.88 m2 ocupados + Estacionamiento 3 - 12.5 m2. Precio Pre Venta: $185k   4. Dpto 401 - 145.79 m2 ocupados + Estacionamiento 4 - 12.5 m2. Precio Pre Venta: $186k   5. Dpto 501 - 144.94 m2 ocupados + Estacionamiento 5 - 12.5 m2. Precio Pre Venta: $185k   6. Dpto 601 - 147.37 m2 ocupados + Estacionamiento 6 - 12.5 m2. Precio Pre Venta: $188k   ✅ Ambientes:   - 3 Habitaciones amplias con closets    - 3 Baños vestidos en Porcelanato de piso a techo   - 1 Hall o zona de estar   - 1 Comedor amplio con terraza y vista al parque    - 1 Sala amplia con terraza y vista al parque   - 1 cocina americana amplia con isla en el medio en granito y mueblería alta y baja   - 1 Lavanderia    - 2 amplios patios (solo Dpto 101)   - 1 estacionamiento individual por departamento en semisótano    - Amplio Parqueo y seguro para visitas Mostrar","Amoblado: Sin amoblar Internet Línea Blanca Armario empotrado Balcón Año de construcción: 2,023 Ascensor Bodega Estacionamientos BBQ Cisterna Terraza Seguridad privada Cerca de parques Cerca a Centro Comercial Cerca a avenidas principales Cerca a Centro Comercial Vista panorámica",https://www.laencontre.com.pe/inmueble/354927,1761.904761904762,cayma
13,"Departamento en venta Cayma, Arequipa",departamento,208000.0,-16.386498036937798,-71.54683515429497,190.0,3.0,4.0,"Cayma, Arequipa","VENTA DEPARTAMENTO CERCA DE URB. SEÑORIAL - CAYMA      AMPLIO DEPARTAMENTO CERCA DE CENTROS COMERCIALES Y AVENIDA EJÉRCITO       Vendo amplio departamento en el 3er nivel, está ubicado en urbanización privada en el distrito de Cayma, como referencia cerca de Notaría Rodríguez Velarde y de la Avenida Cayma, en zona tranquila y segura, cerca de centros  comerciales  Real Plaza, Mall y la avenida Ejercito, el departamento tiene buena distribución é iluminac ... ión con buenos acabados, tiene todos los documentos en regla, el departamento cuenta con la siguiente distribución:       - Sala    - Comedor    - Cocina    - Hall    - Estudio    - 03 Habitaciones    - 03 Baños    - Lavandería    - Cuarto de servicio c/baño    - Cochera techada    - Sin Ascensor       ÁREA TOTAL: 190 M2       PRECIO: $208,000 DÓLARES Mostrar",Amoblado: Sin amoblar Armario empotrado Cuarto de Servicio Balcón Estacionamientos Seguridad privada Caseta de vigilancia Cerca de parques Cerca a avenidas principales Cerca a Centro Comercial Cerca a Centro Comercial,https://www.laencontre.com.pe/inmueble/e2b6-8e3c-d9a42321-368839e94c26-347e,1094.7368421052631,cayma
14,"Departamento en venta Cerro Colorado, Arequipa",departamento,120000.0,-16.383406,-71.556281,99.0,3.0,2.0,"Cerro Colorado, Arequipa","¡¡¡VENTA!!! DEPARTAMENTO ESTRENO CERCA SOCOSANI - CERRO COLORADO       GRAN OPORTUNIDAD ÚLTIMO DEPARTAMENTO    Vendo departamento estreno esta ubicado en el 2do nivel, en el Distrito de Cerro Colorado, cerca de Socosani, se entrega en Marzo, en zona tranquila y segura, tiene todos los documentos en regla, registrado en RRPP, el departamento cuenta con la siguiente distribución:   - Sala   - Comedor   - Cocina   - 03 Habitaciones    - 02 Baños   - Lavandería   - Coch ... era    - Lavandería    rea Total: 99 m2   Precio: $120,000 Dólares Mostrar",Estacionamientos Cerca de parques,https://www.laencontre.com.pe/inmueble/2148-a5f7-d13d2c7d-68f227d61ac0-4014,1212.121212121212,cerro colorado
15,"Departamento en venta Arequipa Distrito, Arequipa",departamento,187000.0,-16.40315652,-71.53433038,153.0,3.0,4.0,Arequipa,[EN VENTA] Amplio departamento de estreno en Vallecito      Sumérgete en la tranquilidad y seguridad de este amplio departamento de estreno ubicado en el segundo piso de una residencial moderna en el corazón Vallecito.      📌 Área: 153 m2      📌Características:       1 Dormitorio principal con closets y baño privado.       2 dormitorios secundarios con closet       Amplia sala comedor       Cocina cerrada semi equipada       Lavandería con therma a gas y eléctrica       Cuarto y  ... baño de servicio       Sala de estar       Baño social       Baño completo para dormitorios secundarios             📌 Adicional       Estacionamiento.       Closet.       Ascensor. Mostrar,Estacionamientos Cerca de parques,https://www.laencontre.com.pe/inmueble/9af0-a47a-ef72b5e6-d8665fcedab2-3974,1222.2222222222222,arequipa
16,"Departamento en venta Yanahuara, Arequipa",departamento,98000.0,-16.3962591,-71.5496943,134.78858683926646,3.0,2.0,"Yanahuara, Arequipa","CALLE CHULLO.   HERMOSOS DEPARTAMENTOS EN PRE-VENTA.   Entrega diciembre 2023.      - EXCELENTE UBICACIÓN, CERCA A BANCOS, RESTAURANTES, COLEGIOS, UNIVERSIDADES.    - EDIFICIO DE 8 PISOS, CONTARÁ CON 22 DPTOS FLAT (03 DPTOS POR PISO).   - ES UN PROYECTO QUE CUENTA CON DEPARTAMENTOS DE 02 Y 03 DORMITORIOS, 02 BAÑOS COMPLETOS, SALA, COMEDOR, COCINA, LAVANDERIA Y BALCÓN.   - 02 ASCENSORES, ESTACIONAMIENTOS EN SÓTANO Y SEMISÓTANO, ZONA DE PARRILLAS Y AMBIENTE PARA REUNIONES.    - ACABADOS DE PRIMERA CALIDAD.    - OPCIÓN DE PERSONALIZAR SU COCINA.      ZONA DE PARRILLA EN 7MO PISO: 35 M2   SALA DE CELEBRACIONES EN AZOTEA: 54 M2      DISPONIBLES:   102 - 80m2 - $98,000   201 - 89m2 - $104,000   603 - 86m2 - $106,000      PRECIO DE ESTACIONAMIENTO US$ 10.000 (disponible 01 cochera para Dptos. a partir de 2do. piso)      Financiamiento: Bco. Pichincha.      INFORMES: 96375---- ...  - 94186----      PRECIO DE DPTOS.: DESDE US$98,000   PRECIO DE ESTACIONAMIENTO US$ 10.000 Mostrar",Amoblado: Semi-amoblado Balcón Armario empotrado Cuarto de Servicio Estacionamientos Terraza BBQ Ascensor Cerca a avenidas principales Cerca a Centro Comercial Cerca de parques Cerca a Centro Comercial Vista panorámica,https://www.laencontre.com.pe/inmueble/9d10-9864-53fb1c31-9c3e72d9fb63-43a9,727.0645259962823,yanahuara
17,"Departamento en venta Interbank, Calle Miguel Grau, Ag. Cerro Colorado, Cerro Colorado, Arequipa, 04014, Per",departamento,111000.0,-16.37626392,-71.56001184,90.0,2.0,3.0,"Interbank, calle miguel grau, ag. cerro colorado, cerro colorado, arequipa, 04014, per","¡¡¡VENTA!!! DEPARTAMENTOS ESTRENO CERCA  PLAZA LAS AMERICAS - CERRO COLORADO       DEPARTAMENTOS ESTRENO DE 2 HABITACIONES CERCA A METRO      Vendo bonitos departamentos en estreno desde el 2do al 5to nivel, están ubicado en el Distrito de Cerro Colorado, como referencia cerca de la Plaza las Americas y la avenida Villa Hermosa, en zona tranquila y segura cerca de Arequipa Center, Metro, Sodimac, colegios, cuenta con buena distribución e iluminación, tie ... ne todos los documentos en regla, para la venta al contado ó por medio de crédito hipotecario, los departamentos cuentan con la siguiente distribución:       - Sala   - Comedor   - Cocina   - Baño Social   - 02 Habitaciones    - 02 Baños   - Lavandería    - Ascensor   - Cochera      ÁREA DEPARTAMENTOS: 90 m2      DESDE:   PRECIO : $111,000 DÓLARES Mostrar","Amoblado: Sin amoblar Armario empotrado Año de construcción: 2,022 Ascensor Seguridad privada Estacionamientos Cerca a avenidas principales Cerca a Centro Comercial Cerca de parques Cerca a Centro Comercial Vista panorámica",https://www.laencontre.com.pe/inmueble/a2e3-a068-4c672686-b5f768238e30-1273,1233.3333333333333,cerro colorado
18,"Departamento en venta Cayma, Arequipa",departamento,550000.0,-16.23872,-71.46755,420.0,3.0,5.0,"Cayma, Arequipa",CAYMA ZONA EXCLUSIVA - PARTE BAJA      HERMOSO DUPLEX CON TERRAZA EN 5TO. PISO.      ASCENSOR DIRECTO A DEPARTAMENTO.   A.C.: 420 M2.      CUENTA CON:    - 02 SALAS.   - COMEDOR.   - 03 DORMITORIOS CON BAÑOS.   - COCINA AMPLIA.   - 05 BAÑOS.   - TERRAZAS.   - 02 COCHERAS.      VISTA PANORÁMICA 360°   ACABADOS A - 1,"Amoblado: Sin amoblar Cuarto de Servicio Balcón Armario empotrado Jacuzzi Año de construcción: 2,021 Estacionamientos Terraza Ascensor Seguridad privada Caseta de vigilancia Acceso a discapacitados Caseta de vigilancia Cerca a avenidas principales Cerca a Centro Comercial Cerca de parques Cerca a Centro Comercial Vista panorámica",https://www.laencontre.com.pe/inmueble/3def-9c53-a791e1e7-24745c8773c2-4f8c,1309.5238095238096,cayma
19,"Departamento en venta Urb Bello Horizonte, Cayma, Perú",departamento,215000.0,-16.3749376,-71.543834,138.7,4.0,4.0,"Urb bello horizonte, cayma, perú","Se vende hermoso departamento con vista a los volcanes y bien iluminado en Bello Horizonte, Cayma       Edificio y departamento con moderna arquitectura 🥳    Departamento con vista a la calle y a los volcanes 🌄    La posición del departamento permite que tenga iluminación natural y calidez 🌞    Cuenta con ascensor Otis 🛗    Seguridad en el edificio 🚓    Zona segura y tranquila 😌    Jardín de uso común en el edificio 🌳       Amplio departamento de 138m2 cuenta con los siguientes ambientes:    ✅ Sala    ✅ Comedor    ✅ Baño de visitas    ✅ Balcón con vista a la calle y volcanes 🗻    ✅ Amplia cocina cerrada    ✅ Lavandería    ✅ Cuarto de servicio    ✅ Baño de servicio    ✅ Cuarto principal con baño privado, walking closet y balcón    ✅ 2 amplios cuartos secundarios    ✅ Baño completo compartido    ✅ Cochera       ¡No pierdas la oportunidad de vivir en una de las mejores zonas de Cayma!      DATOS DE CONTACTO   Email:  Contactar ...    Teléfono:  Ver teléfono Mostrar","Amoblado: Sin amoblar Balcón Armario empotrado Línea Blanca Jacuzzi Cuarto de Servicio Año de construcción: 2,013 Estacionamientos Caseta de vigilancia Acceso a discapacitados Jardín Vista panorámica",https://www.laencontre.com.pe/inmueble/e8f6-9b34-4a5d1358-fdfaff17b899-4ecc,1550.1081470800289,cayma
